,Route,Load,distance
0,"[0, 51, 0]",26,3807.196
0,"[0, 52, 0]",26,3807.196
0,"[0, 159, 0]",39,2369.804
0,"[0, 187, 0]",28,850.081
0,"[0, 188, 0]",26,1099.835
0,"[0, 803, 806, 805, 807, 0]",40,7977.007
0,"[0, 321, 297, 298, 441, 300, 306, 308, 303, 0]",40,8434.372
0,"[0, 449, 443, 318, 315, 314, 310, 309, 313, 317, 0]",40,9244.228
0,"[0, 442, 334, 327, 332, 331, 333, 335, 0]",40,6986.259
0,"[0, 647, 648, 579, 0]",39,5983.201
0,"[0, 651, 575, 574, 572, 0]",40,6686.414999999999
0,"[0, 448, 450, 447, 444, 0]",40,6838.460999999999
0,"[0, 283, 282, 287, 286, 328, 330, 329, 320, 323, 322, 326, 324, 319, 0]",38,7525.435
0,"[0, 799, 810, 811, 694, 801, 802, 696, 0]",37,7717.174000000001
0,"[0, 697, 809, 808, 804, 695, 701, 0]",40,9065.723999999998
0,"[0, 713, 712, 710, 798, 0]",39,5267.761
0,"[0, 642, 644, 646, 0]",40,5668.912
0,"[0, 278, 284, 285, 280, 279, 276, 275, 274, 0]",40,6093.998
0,"[0, 587, 583, 577, 584, 0]",39,5221.9220000000005
0,"[0, 562, 556, 581, 589, 0]",39,5279.263999999999
0,"[0, 569, 568, 563, 557, 0]",38,5757.779
0,"[0, 116, 118, 114, 2, 1, 4, 115, 15, 88, 0]",40,6038.751000000001
0,"[0, 17, 20, 16, 18, 21, 0]",37,5243.476000000001
0,"[0, 766, 765, 764, 775, 773, 772, 770, 771, 704, 0]",40,5810.156
0,"[0, 25, 14, 11, 10, 9, 7, 12, 13, 23, 31, 32, 0]",40,5919.46
0,"[0, 127, 117, 126, 121, 129, 0]",39,5575.8769999999995
0,"[0, 638, 643, 645, 586, 585, 0]",39,5508.541
0,"[0, 144, 143, 0]",31,4436.714
0,"[0, 559, 555, 560, 561, 0]",38,4787.052
0,"[0, 578, 580, 582, 599, 0]",40,5647.342
0,"[0, 33, 24, 27, 37, 0]",38,4680.876
0,"[0, 338, 367, 346, 347, 366, 0]",39,4741.277
0,"[0, 649, 650, 461, 570, 452, 488, 0]",39,9096.197
0,"[0, 552, 576, 652, 573, 0]",40,6770.65
0,"[0, 26, 36, 43, 0]",40,4507.146000000001
0,"[0, 708, 705, 706, 774, 0]",40,5720.723
0,"[0, 699, 698, 707, 718, 0]",37,5328.572999999999
0,"[0, 776, 785, 784, 791, 792, 0]",39,4835.169
0,"[0, 423, 349, 352, 354, 344, 343, 0]",36,6044.643
0,"[0, 273, 271, 337, 368, 363, 0]",38,4396.85
0,"[0, 439, 440, 355, 353, 351, 437, 0]",40,5379.127
0,"[0, 428, 429, 432, 359, 357, 356, 358, 430, 0]",39,5573.167
0,"[0, 35, 89, 0]",37,4284.215999999999
0,"[0, 592, 591, 553, 554, 588, 0]",40,4991.246999999999
0,"[0, 268, 270, 272, 262, 263, 257, 260, 0]",40,4434.089
0,"[0, 55, 56, 28, 29, 34, 39, 0]",40,4542.85
0,"[0, 685, 767, 769, 762, 153, 0]",38,4811.219
0,"[0, 748, 778, 777, 779, 780, 0]",39,4631.2119999999995
0,"[0, 624, 633, 636, 604, 0]",38,4100.911
0,"[0, 722, 691, 678, 683, 0]",39,3962.2709999999997
0,"[0, 786, 711, 725, 0]",40,4483.3910000000005
0,"[0, 547, 549, 482, 0]",39,4422.911
0,"[0, 484, 451, 455, 457, 460, 458, 459, 456, 485, 0]",38,5124.063999999999
0,"[0, 788, 787, 795, 726, 0]",37,4310.303
0,"[0, 538, 539, 608, 0]",36,3585.859
0,"[0, 243, 244, 249, 371, 370, 364, 0]",38,4213.617
0,"[0, 64, 38, 44, 65, 0]",36,3846.6589999999997
0,"[0, 40, 57, 30, 46, 54, 0]",40,4054.387
0,"[0, 677, 692, 693, 684, 0]",37,3651.639
0,"[0, 142, 128, 136, 135, 122, 124, 131, 120, 123, 125, 92, 0]",39,5782.380999999999
0,"[0, 640, 639, 641, 622, 0]",39,4923.408
0,"[0, 463, 483, 487, 454, 551, 466, 0]",39,4492.581999999999
0,"[0, 413, 414, 416, 407, 0]",37,3535.125
0,"[0, 794, 781, 782, 790, 800, 0]",37,5405.866
0,"[0, 681, 720, 733, 0]",39,3700.5959999999995
0,"[0, 634, 637, 609, 615, 0]",36,4328.335
0,"[0, 729, 703, 700, 702, 716, 0]",40,5277.838
0,"[0, 738, 753, 752, 756, 0]",36,3397.6549999999997
0,"[0, 62, 66, 45, 58, 0]",39,3532.34
0,"[0, 721, 714, 719, 723, 0]",40,4119.976
0,"[0, 601, 607, 600, 612, 0]",40,3466.916
0,"[0, 146, 91, 90, 93, 0]",40,3760.7439999999997
0,"[0, 157, 155, 154, 687, 688, 0]",39,3418.254
0,"[0, 606, 595, 597, 593, 621, 0]",40,4445.599
0,"[0, 84, 119, 3, 5, 6, 8, 264, 0]",37,7222.9580000000005
0,"[0, 248, 385, 362, 403, 388, 0]",38,3491.252
0,"[0, 732, 730, 755, 0]",40,3204.391
0,"[0, 535, 541, 544, 546, 0]",40,3988.838
0,"[0, 709, 717, 679, 0]",40,4631.33
0,"[0, 739, 741, 749, 750, 751, 0]",40,3576.0190000000002
0,"[0, 105, 96, 0]",37,2799.1859999999997
0,"[0, 745, 736, 737, 742, 743, 0]",40,3226.883
0,"[0, 53, 59, 60, 61, 73, 0]",38,3373.983
0,"[0, 237, 235, 242, 236, 267, 0]",37,3909.125
0,"[0, 735, 727, 783, 789, 0]",38,4422.8189999999995
0,"[0, 78, 22, 41, 67, 0]",39,4155.174
0,"[0, 734, 673, 674, 664, 682, 0]",40,3000.054
0,"[0, 72, 69, 71, 70, 0]",39,3053.906
0,"[0, 525, 613, 623, 619, 0]",40,3353.17
0,"[0, 186, 63, 19, 42, 0]",36,4658.223
0,"[0, 616, 610, 614, 617, 0]",40,2880.2479999999996
0,"[0, 104, 145, 0]",40,4176.008
0,"[0, 149, 151, 150, 156, 0]",36,3380.5040000000004
0,"[0, 676, 680, 689, 690, 152, 0]",40,3651.639
0,"[0, 618, 620, 761, 630, 0]",37,3685.693
0,"[0, 631, 521, 526, 531, 0]",40,2895.7169999999996
0,"[0, 103, 100, 99, 95, 101, 97, 0]",39,3181.5789999999997
0,"[0, 380, 247, 252, 387, 253, 251, 250, 269, 266, 254, 255, 0]",37,4159.549999999999
0,"[0, 381, 350, 341, 342, 340, 339, 0]",40,5932.476000000001
0,"[0, 384, 369, 348, 345, 365, 0]",38,4741.277
0,"[0, 410, 419, 421, 426, 427, 411, 471, 0]",39,3920.616
0,"[0, 438, 420, 415, 417, 409, 472, 0]",39,3912.3540000000003
0,"[0, 79, 80, 86, 87, 77, 81, 185, 108, 0]",40,3349.394
0,"[0, 401, 402, 404, 383, 406, 405, 408, 0]",38,3699.2879999999996
0,"[0, 534, 532, 530, 529, 0]",40,2524.866
0,"[0, 667, 715, 796, 0]",40,4196.73
0,"[0, 594, 596, 603, 628, 0]",37,4062.12
0,"[0, 629, 632, 627, 0]",36,2747.838
0,"[0, 656, 746, 740, 744, 757, 758, 0]",39,3283.4750000000004
0,"[0, 797, 724, 163, 0]",39,5155.545999999999
0,"[0, 670, 164, 167, 0]",40,2247.965
0,"[0, 162, 98, 139, 132, 138, 130, 133, 134, 137, 141, 140, 0]",39,5121.799000000001
0,"[0, 626, 654, 0]",37,1838.824
0,"[0, 74, 75, 0]",34,1934.982
0,"[0, 112, 85, 94, 147, 148, 763, 0]",40,4354.546
0,"[0, 83, 111, 0]",35,3458.5070000000005
0,"[0, 225, 233, 227, 238, 221, 224, 0]",33,2520.678
0,"[0, 378, 241, 372, 232, 0]",34,2755.5139999999997
0,"[0, 657, 653, 662, 663, 668, 0]",37,2395.706
0,"[0, 425, 418, 422, 412, 462, 477, 475, 476, 0]",38,3613.817
0,"[0, 506, 513, 523, 524, 0]",40,2297.559
0,"[0, 479, 478, 480, 545, 537, 536, 507, 0]",40,2783.161
0,"[0, 528, 527, 533, 522, 0]",40,2765.142
0,"[0, 219, 47, 48, 49, 50, 265, 0]",33,3808.1060000000007
0,"[0, 110, 183, 0]",40,2150.5389999999998
0,"[0, 465, 481, 360, 336, 445, 446, 470, 0]",40,6421.704
0,"[0, 474, 316, 312, 311, 299, 304, 307, 305, 292, 291, 294, 288, 289, 290, 301, 302, 293, 295, 296, 325, 0]",40,10117.936000000002
0,"[0, 519, 542, 543, 540, 0]",40,4011.8509999999997
0,"[0, 398, 393, 0]",39,1576.896
0,"[0, 178, 658, 659, 0]",33,1921.6100000000001
0,"[0, 666, 675, 731, 665, 669, 671, 0]",40,2748.676
0,"[0, 672, 728, 747, 754, 793, 0]",39,3892.407
0,"[0, 208, 222, 210, 374, 391, 0]",40,1827.652
0,"[0, 220, 223, 211, 375, 392, 0]",35,1827.652
0,"[0, 216, 68, 76, 217, 205, 0]",39,2196.3460000000005
0,"[0, 218, 190, 206, 0]",28,2067.3730000000005
0,"[0, 158, 168, 161, 0]",33,2018.656
0,"[0, 516, 605, 602, 635, 611, 0]",39,3768.6279999999997
0,"[0, 464, 434, 435, 436, 361, 433, 431, 424, 467, 0]",40,6235.454
0,"[0, 468, 486, 453, 567, 564, 0]",40,5124.529
0,"[0, 180, 179, 660, 655, 661, 0]",36,2319.154
0,"[0, 113, 82, 109, 184, 170, 0]",40,2268.0099999999998
0,"[0, 169, 107, 0]",37,2102.139
0,"[0, 500, 394, 497, 397, 469, 473, 498, 0]",37,2091.0069999999996
0,"[0, 503, 505, 512, 510, 0]",39,1619.644
0,"[0, 399, 214, 0]",37,1576.896
0,"[0, 389, 376, 230, 246, 373, 0]",38,2764.7290000000003
0,"[0, 256, 258, 259, 261, 277, 281, 496, 0]",40,5523.851
0,"[0, 189, 203, 204, 0]",38,1527.692
0,"[0, 686, 768, 181, 0]",38,3921.2219999999998
0,"[0, 501, 548, 550, 590, 598, 0]",40,4673.885
0,"[0, 502, 558, 566, 565, 571, 0]",40,5646.123
0,"[0, 508, 511, 504, 520, 0]",38,1473.32
0,"[0, 509, 514, 0]",33,1009.422
0,"[0, 517, 625, 518, 493, 0]",40,2192.302
0,"[0, 166, 165, 173, 172, 0]",39,1597.042
0,"[0, 171, 207, 0]",35,1223.229
0,"[0, 212, 390, 215, 209, 213, 0]",38,1308.914
0,"[0, 491, 499, 494, 495, 492, 0]",39,1110.97
0,"[0, 192, 102, 160, 106, 182, 0]",31,2302.7739999999994
0,"[0, 176, 177, 191, 193, 0]",37,733.3330000000001
0,"[0, 194, 515, 0]",34,1114.484
0,"[0, 196, 489, 490, 197, 0]",40,685.268
0,"[0, 379, 231, 229, 245, 201, 0]",40,2807.225
0,"[0, 377, 240, 386, 382, 202, 0]",40,3056.115
0,"[0, 759, 760, 198, 0]",40,3910.102
0,"[0, 175, 174, 199, 0]",25,1284.9920000000002
0,"[0, 200, 396, 400, 395, 0]",40,2649.435
0,"[0, 226, 234, 228, 239, 195, 0]",35,2524.0769999999998
